Day,AnimalCount,PlantCount,AvgAnimalEnergy,AvgAnimalLifespan,AvgChildrenCount,AvgDescendantsCount,FreeSpace,OccupiedSpace
0,10,10,10,0,0,0,92,8
1,10,20,9,0,0,0,90,10
2,11,25,10,0,0,0,91,9
3,12,30,11,0,0,0,90,10
4,13,37,12,0,0,0,89,11
5,13,40,17,0,0,0,87,13
6,13,43,20,0,0,0,87,13
7,15,46,22,0,0,1,89,11
8,16,48,25,0,0,1,87,13
9,18,51,26,0,0,1,86,14
10,19,56,27,10,1,1,87,13
11,21,57,28,10,1,2,84,16
12,24,58,28,10,1,2,83,17
13,26,59,29,10,1,3,80,20
14,30,58,29,10,1,3,78,22
15,35,55,28,10,1,3,79,21
16,42,53,26,10,1,4,76,24
17,49,52,25,10,1,5,74,26
18,59,47,23,10,1,5,70,30
19,74,44,21,9,1,7,68,32
20,95,37,19,9,1,8,57,43
21,121,34,17,8,1,9,54,46
22,148,31,15,7,1,11,48,52
23,182,30,13,7,1,12,40,60
24,226,24,12,7,1,13,36,64
25,267,20,11,8,1,14,25,75
26,320,16,10,8,1,16,19,81
27,383,15,9,8,1,18,17,83
28,442,12,8,8,1,20,14,86
29,497,11,8,8,1,22,9,91
30,556,10,7,8,1,25,7,93
31,613,10,7,8,1,27,5,95
32,657,10,7,8,1,30,3,97
33,716,10,6,8,1,33,1,99
34,767,10,6,8,1,37,2,98
35,810,10,6,8,1,41,2,98
36,838,10,5,8,1,45,0,100
37,847,10,5,8,1,49,0,100
38,864,10,5,9,1,55,0,100
39,865,10,5,9,1,61,0,100
40,871,10,5,9,1,67,0,100
41,889,10,5,9,1,73,0,100
42,898,10,5,9,1,80,0,100
43,905,10,5,9,1,88,0,100
44,902,10,5,9,1,96,0,100
45,898,10,5,9,1,106,0,100
46,889,10,5,9,1,116,0,100
47,894,10,5,9,1,126,0,100
48,903,10,5,9,1,138,0,100
49,892,10,5,9,1,150,0,100
50,896,10,5,9,1,164,0,100
51,888,10,5,9,1,178,0,100
52,889,10,5,9,1,194,0,100
53,897,10,5,8,1,211,0,100
