67,33,7,5,6,7,[2, 0, 5, 1]
0,10,8,10,0,0,[0, 6, 4, 2]
1,11,8,10,1,0,[0, 6, 4, 2]
2,12,9,10,1,0,[0, 6, 4, 2]
3,11,11,11,2,2,[0, 6, 4, 2]
4,10,11,14,3,2,[0, 6, 4, 2]
5,11,11,15,4,2,[0, 6, 4, 2]
6,11,12,15,5,3,[0, 6, 4, 2]
7,11,12,17,6,3,[0, 6, 4, 2]
8,13,13,15,6,3,[0, 6, 4, 2]
9,13,13,16,6,4,[0, 6, 4, 2]
10,14,13,16,6,4,[0, 6, 4, 2]
11,16,12,16,6,4,[0, 6, 4, 2]
12,18,12,14,7,4,[0, 6, 4, 2]
13,20,10,14,7,4,[0, 6, 4, 2]
14,22,9,14,7,4,[0, 6, 4, 2]
15,23,7,14,7,4,[0, 6, 4, 2]
16,27,8,12,7,4,[0, 3, 4, 2]
17,30,6,11,7,4,[0, 3, 4, 2]
18,35,4,10,7,6,[0, 3, 4, 2]
19,36,3,10,7,6,[0, 3, 4, 2]
20,35,5,10,7,6,[0, 3, 4, 2]
21,39,6,8,7,6,[0, 3, 4, 2]
22,44,4,7,7,6,[0, 3, 4, 2]
23,44,3,7,7,7,[5, 2, 3, 5]
24,43,5,7,7,6,[1, 4, 4, 5]
25,44,6,6,6,6,[1, 4, 4, 5]
26,44,6,6,6,7,[4, 4, 4, 3]
27,41,6,6,6,7,[5, 4, 6, 3]
28,36,6,6,5,7,[5, 4, 6, 3]
29,33,4,8,6,7,[5, 4, 6, 3]
30,28,6,8,6,7,[4, 3, 3, 4]
31,29,5,9,6,7,[4, 3, 3, 4]
32,25,7,9,7,7,[4, 2, 3, 4]
33,26,6,10,7,7,[7, 3, 4, 6]
34,28,4,10,7,7,[7, 3, 4, 6]
35,28,5,9,6,7,[5, 2, 3, 5]
36,25,5,11,7,7,[5, 2, 3, 5]
37,30,4,9,7,7,[5, 2, 3, 5]
38,30,4,9,6,7,[1, 4, 7, 3]
39,32,3,9,7,7,[1, 4, 7, 3]
40,23,5,12,7,7,[1, 4, 7, 3]
41,26,6,11,7,7,[1, 4, 7, 3]
42,30,6,9,7,7,[1, 4, 7, 3]
43,29,6,9,7,7,[1, 4, 7, 3]
44,27,5,11,7,7,[1, 4, 7, 3]
45,27,7,10,7,7,[1, 4, 7, 3]
46,28,7,10,7,7,[1, 4, 7, 3]
47,31,7,9,7,7,[1, 4, 7, 3]
48,36,4,8,6,7,[1, 4, 7, 3]
49,41,5,7,6,7,[1, 4, 7, 3]
50,42,6,6,6,7,[1, 4, 7, 3]
51,45,3,6,6,7,[1, 4, 7, 3]
52,45,4,5,6,7,[2, 3, 5, 4]
53,46,4,5,6,7,[2, 3, 5, 4]
54,43,5,5,6,7,[2, 3, 5, 4]
55,37,5,6,6,7,[2, 3, 5, 4]
56,31,6,6,6,7,[2, 3, 6, 5]
59,27,6,8,8,7,[1, 5, 4, 5]
59,27,6,8,8,7,[1, 5, 4, 5]
59,27,6,8,8,7,[1, 5, 4, 5]
60,29,7,7,7,7,[3, 5, 3, 7]
61,28,5,8,7,7,[3, 5, 3, 7]
62,31,3,8,7,7,[3, 5, 3, 7]
63,37,4,6,7,7,[3, 5, 3, 7]
64,39,5,5,7,7,[1, 3, 4, 5]
65,36,4,6,7,7,[1, 3, 4, 5]
66,33,4,6,6,7,[1, 3, 4, 5]
68,38,6,5,6,7,[1, 3, 4, 5]
68,38,6,5,6,7,[1, 3, 4, 5]
